a,b,c,label
1.04584375,0.767508066,1.04584375,
1.148601563,0.540628516,1.148601563,
0.533585938,0.724807868,0.533585938,
0.482617188,0.831837876,0.482617188,
0.627132813,1.013798699,0.627132813,
0.855445313,0.76237632,0.855445313,
0.375703125,1.069214434,0.375703125,
1.054570313,0.759868232,1.054570313,
0.542679688,0.665033398,0.542679688,
0.187234375,0.497813712,0.187234375,
0.276296875,0.684335745,0.276296875,
0.6679375,0.825097729,0.6679375,
0.622132813,1.129820003,0.622132813,
0.743695313,0.825770214,0.743695313,
0.6495625,0.566236089,0.6495625,
0.803695313,0.55022482,0.803695313,
1.25734375,0.778167112,1.25734375,
0.293882813,0.690280996,0.293882813,
1.08746875,0.954521084,1.08746875,
0.903273438,0.57365632,0.903273438,
1.266601563,0.462531001,1.266601563,
0.713523438,0.802345146,0.713523438,
1.040617188,0.79579581,1.040617188,
1.655109375,0.981165747,1.655109375,
1.450398438,0.950988814,1.450398438,
0.216984375,0.716578088,0.216984375,
0.731929688,0.519467473,0.731929688,
0.337671875,0.910158555,0.337671875,
0.36809375,0.848018549,0.36809375,
0.893789063,0.609933663,0.893789063,
1.36234375,0.510129877,1.36234375,
0.935867188,0.779681619,0.935867188,
0.840507813,0.609317061,0.840507813,
1.037804688,0.69066552,1.037804688,
0.580914063,0.739072106,0.580914063,
1.428453125,0.463889751,1.428453125,
0.23825,0.789653296,0.23825,
0.95803125,0.552298011,0.95803125,
0.899859375,0.767634605,0.899859375,
0.945257813,0.5126763,0.945257813,
0.350109375,0.713201981,0.350109375,
0.420265625,0.678671364,0.420265625,
0.086109375,0.564359624,0.086109375,
0.688648438,0.41546263,0.688648438,
0.454398438,0.680213367,0.454398438,
0.914617188,0.506026805,0.914617188,
0.554179688,0.679822466,0.554179688,
0.774046875,0.841747019,0.774046875,
1.062070313,0.948279092,1.062070313,
1.468265625,0.562786212,1.468265625,
1.051953125,0.495921426,1.051953125,
1.299359375,0.712393388,1.299359375,
0.96421875,0.510094338,0.96421875,
0.490054688,0.430630303,0.490054688,
-0.007914062,0.89346095,-0.007914062,
0.236601563,0.384381999,0.236601563,
0.613,0.525967279,0.613,
1.2938125,0.999777895,1.2938125,
1.302164063,0.571084396,1.302164063,
1.235882813,0.664582454,1.235882813,
0.9846875,0.538412434,0.9846875,
0.798609375,0.64916159,0.798609375,
-0.734195313,0.6114353,-0.734195313,
0.850929688,0.584908168,0.850929688,
-0.173484375,1.216375366,-0.173484375,
-0.14290625,1.184026,-0.14290625,
0.6209375,0.535190865,0.6209375,
0.144492188,0.873804058,0.144492188,
0.62184375,0.91873218,0.62184375,
0.033976562,0.976188542,0.033976562,
1.501242188,1.332932691,1.501242188,
0.8105625,1.136438349,0.8105625,
1.080804688,0.54618867,1.080804688,
0.484109375,0.503095111,0.484109375,
0.276304688,0.642066775,0.276304688,
0.823390625,0.722147484,0.823390625,
0.309898438,0.898507868,0.309898438,
-0.219429688,1.239044312,-0.219429688,
-0.395726563,0.916045788,-0.395726563,
