sensorspeed,units,gravity,Accuracy
-0.09,4.953,8.662,0
-0.212,4.92,8.913,5
-0.258,4.946,9.124,5
-0.329,5.011,9.39,5
-0.471,5.095,9.641,5
-0.724,5.253,9.876,5
-1,5.392,10.072,5
-1.23,5.569,10.194,5
-1.395,5.638,10.206,5
-1.39,5.636,10.185,5
-1.301,5.542,10.099,5
-1.055,5.42,9.996,5
-0.792,5.284,9.869,5
-0.555,5.202,9.797,5
-0.339,5.152,9.83,5
-0.121,5.154,9.907,5
0.101,5.152,9.998,5
0.239,5.138,10.055,5
0.34,5.111,10.017,5
0.443,5.102,9.993,5
0.496,5.025,9.866,5
0.498,5.025,9.773,5
0.44,5.078,9.84,5
0.318,5.19,9.876,5
0.244,5.262,9.874,6
0.172,5.344,9.919,5
0.122,5.356,9.737,5
0.081,5.332,9.553,5
0,5.36,9.409,5
-0.092,5.341,9.246,5
-0.159,5.31,9.143,5
-0.183,5.281,9.172,5
-0.167,5.171,9.122,5
-0.102,5.102,9.105,5
0.089,4.999,9.086,5
0.247,4.874,9.04,5
0.431,4.769,9.036,5
0.529,4.714,9.062,5
0.457,4.791,9.184,5
0.314,4.949,9.397,5
0.244,5.243,9.569,5
0.249,5.631,9.663,5
0.223,5.928,9.656,5
0.112,6.021,9.452,5
-0.03,5.949,9.275,5
-0.155,5.77,9.17,5
-0.215,5.631,9.038,5
-0.305,5.53,8.901,5
-0.495,5.473,8.782,5
-0.686,5.449,8.779,6
-0.918,5.413,8.674,5
-1.081,5.317,8.65,5
-1.184,5.193,8.657,5
-1.364,5.071,8.686,5
-1.613,4.937,8.751,5
-1.826,4.8,8.825,5
-1.867,4.676,8.937,5
-1.811,4.506,8.98,5
-1.744,4.326,9.069,5
-1.737,4.159,9.229,5
-1.752,3.941,9.455,5
-1.687,3.835,9.68,5
-1.641,3.728,9.835,5
-1.589,3.649,9.931,5
-1.416,3.55,9.895,5
-1.213,3.404,9.795,5
-0.969,3.218,9.749,5
-0.693,3.052,9.778,5
-0.43,2.966,9.809,5
-0.303,2.981,9.814,5
-0.365,3.024,9.917,5
-0.382,3.052,10.041,5
-0.373,3.184,9.926,5
-0.315,3.347,9.653,6
-0.243,3.486,9.311,5
-0.152,3.61,8.93,5
-0.001,3.723,8.554,5
0.136,3.766,8.255,5
0.242,3.814,7.932,5
0.371,3.809,7.724,5
0.462,3.792,7.656,5
0.474,3.826,7.652,5
0.479,3.854,7.697,5
0.4,3.929,7.795,5
0.244,4.008,7.884,5
0.134,4.099,7.934,5
0.029,4.221,7.915,5
-0.068,4.261,7.917,5
-0.124,4.297,7.946,5
-0.246,4.278,7.932,5
-0.351,4.264,7.894,5
-0.507,4.249,7.836,5
-0.662,4.19,7.803,5
-0.806,4.142,7.793,5
-0.909,4.015,7.846,5
-0.99,3.962,7.963,5
-1.088,3.876,8.176,5
-1.093,3.802,8.38,5
-1.036,3.737,8.6,6
-0.935,3.661,8.803,5
-0.78,3.658,9.007,5
-0.559,3.639,9.124,5
-0.32,3.565,9.306,5
-0.076,3.495,9.426,5
0.093,3.426,9.481,5
0.251,3.402,9.577,5
0.426,3.488,9.529,5
0.668,3.502,9.399,5
0.843,3.546,9.148,5
0.955,3.608,8.81,5
0.991,3.711,8.365,5
1.015,3.833,8.02,5
1.025,3.977,7.661,5
1.02,4.036,7.405,5
0.946,4.182,7.137,5
0.893,4.333,6.921,5
0.792,4.458,6.876,5
0.666,4.621,6.905,5
0.551,4.762,6.974,5
0.395,4.879,7.163,5
0.263,4.953,7.317,5
0.18,5.028,7.412,5
0.081,5.092,7.441,5
0.036,5.116,7.496,6
-0.013,5.107,7.549,5
-0.04,5.08,7.601,5
0.002,5.047,7.752,5
-0.054,4.949,7.91,5
-0.164,4.925,8.04,5
-0.231,4.889,8.047,5
-0.255,4.81,8.02,5
-0.222,4.702,8.004,5
-0.15,4.666,7.987,5
-0.066,4.549,8.013,5
0.026,4.453,8.099,5
0.163,4.36,8.164,5
0.306,4.309,8.257,5
0.479,4.24,8.336,5
0.601,4.204,8.442,5
0.754,4.147,8.492,5
0.893,4.178,8.49,5
0.991,4.163,8.542,5
1.077,4.185,8.585,5
1.118,4.264,8.554,5
1.152,4.367,8.65,5
1.171,4.4,8.664,5
1.223,4.475,8.633,5
1.278,4.513,8.643,6
1.329,4.515,8.609,5
1.331,4.522,8.545,5
1.293,4.57,8.509,5
1.207,4.537,8.423,5
1.168,4.518,8.344,5
1.171,4.561,8.301,5
1.152,4.573,8.298,5
1.125,4.57,8.277,5
1.077,4.673,8.279,5
1.006,4.714,8.298,5
0.979,4.791,8.253,5
0.943,4.855,8.174,5
0.917,4.932,8.154,5
0.85,4.958,8.147,5
0.807,4.994,8.123,5
0.78,5.018,8.14,5
0.749,5.075,8.102,5
0.68,5.092,8.214,5
0.61,5.071,8.245,5
0.598,5.09,8.217,5
0.587,5.111,8.157,5
0.587,5.073,8.056,5
0.548,5.044,8.087,5
0.512,5.059,8.128,5
0.424,5.083,8.224,6
0.35,5.085,8.339,5
0.335,5.116,8.535,5
0.35,5.157,8.66,5
0.304,5.162,8.77,5
0.285,5.169,8.94,5
0.294,5.15,9.04,5
0.323,5.102,9.107,5
0.414,5.097,9.234,5
0.575,5.188,9.196,5
0.836,5.42,9.115,5
1.041,5.751,8.966,5
1.137,6.064,8.722,5
1.082,6.22,8.478,5
0.95,6.256,8.313,5
0.761,6.189,8.255,5
0.493,6.057,8.219,5
0.189,5.863,8.245,5
-0.025,5.691,8.339,5
-0.265,5.581,8.557,5
-0.437,5.497,8.784,5
-0.588,5.372,9.093,5
-0.681,5.231,9.414,5
-0.792,5.032,9.713,5
-0.789,4.743,10.029,5
-0.727,4.431,10.252,6
-0.602,4.111,10.704,5
-0.387,3.809,11.128,5
-0.138,3.555,11.372,5
0.148,3.402,11.509,5
0.469,3.234,11.482,5
0.792,3.16,11.178,5
1.085,3.179,10.867,5
1.322,3.258,10.225,5
1.513,3.359,9.557,5
1.604,3.519,8.901,5
1.676,3.639,8.284,5
1.755,3.72,7.824,5
1.824,3.79,7.415,5
1.841,3.912,7.151,5
1.81,4.077,7.022,5
1.824,4.261,7.005,5
1.889,4.494,7,5
1.92,4.673,6.965,5
1.896,4.834,6.962,5
1.863,4.925,7.053,5
1.772,4.985,7.288,5
1.705,4.975,7.537,5
1.537,5.032,7.714,5
1.377,4.973,7.771,6
1.142,4.903,7.702,5
0.807,4.836,7.621,5
0.436,4.745,7.558,5
0.031,4.702,7.714,5
-0.267,4.733,8.047,5
-0.492,4.704,8.526,5
-0.665,4.678,9.079,5
-0.871,4.68,9.653,5
-1.002,4.69,10.192,5
-1.112,4.656,10.721,5
-1.134,4.573,11.2,5
-1.103,4.451,11.43,5
-1.067,4.312,11.482,5
-1.115,4.17,11.284,5
-1.127,3.945,10.96,5
-0.976,3.761,10.616,5
-0.806,3.632,10.292,5
-0.657,3.574,9.929,5
-0.519,3.596,9.502,5
-0.418,3.684,9.079,5
-0.38,3.833,8.715,5
-0.373,3.996,8.411,5
-0.373,4.132,8.219,5
-0.358,4.281,8.068,5
-0.31,4.412,7.874,6
-0.231,4.455,7.64,5
-0.145,4.494,7.348,5
-0.068,4.508,7.099,5
0.031,4.527,6.886,5
0.148,4.532,6.706,5
0.285,4.561,6.498,5
0.397,4.594,6.277,5
0.531,4.621,6.256,5
0.651,4.707,6.23,5
0.697,4.769,6.306,5
0.735,4.877,6.462,5
0.73,4.891,6.593,5
0.737,4.903,6.668,5
0.783,4.889,6.773,5
0.747,4.898,6.886,5
0.67,4.865,6.979,5
0.608,4.834,7.077,5
0.486,4.795,7.156,5
0.414,4.762,7.218,5
0.328,4.774,7.285,5
0.314,4.767,7.393,5
0.326,4.721,7.534,5
0.347,4.654,7.697,5
0.417,4.613,7.953,6
0.524,4.513,8.257,5
0.656,4.422,8.576,5
0.757,4.34,8.837,5
0.907,4.273,9.071,5
0.977,4.211,9.287,5
1.032,4.187,9.385,5
1.111,4.137,9.452,5
1.171,4.096,9.486,5
1.235,4.065,9.383,5
1.271,4.046,9.239,5
1.326,4.003,9.081,5
1.348,4.041,8.882,5
1.362,4.056,8.796,5
1.348,4.044,8.77,5
1.283,4.015,8.782,5
1.259,3.989,8.957,5
1.209,3.984,9.103,5
1.197,3.989,9.155,5
1.149,3.948,9.263,5
1.13,3.795,9.464,5
1.108,3.742,9.569,5
1.044,3.704,9.534,5
1.032,3.735,9.692,5
1.032,3.754,9.89,5
0.998,3.763,10.108,6
0.927,3.751,10.372,5
0.797,3.773,10.568,5
0.548,3.883,10.489,5
0.273,3.962,10.364,5
0.057,4.003,10.108,5
0.01,3.984,9.842,5
0.024,3.929,9.656,5
-0.047,3.85,9.409,5
-0.145,3.823,9.225,5
-0.191,3.84,9.059,5
-0.207,3.811,9.05,5
-0.236,3.766,9.024,5
-0.124,3.723,9.069,5
0.012,3.778,9.308,5
0.16,3.771,9.625,5
0.457,3.917,9.874,5
0.919,4.197,9.953,5
1.369,4.623,9.773,5
1.64,5.099,9.292,5
1.695,5.463,8.815,5
1.585,5.597,8.406,5
1.386,5.483,8.183,5
1.039,5.164,8.028,5
0.484,4.996,7.903,6
-0.164,4.973,8.198,5
-0.772,4.989,8.583,5
-1.182,5.032,8.928,5
-1.536,5.004,9.349,5
-1.862,4.884,9.84,5
-2.154,4.683,10.01,5
-2.388,4.386,10.228,5
-2.487,3.984,10.592,5
-2.333,3.62,10.965,5
-2.144,3.265,11.217,5
-1.878,2.945,11.492,5
-1.515,2.693,11.65,5
-1.11,2.463,11.739,5
-0.691,2.317,11.775,5
-0.25,2.152,11.652,5
0.175,2.104,11.442,5
0.663,2.116,11.068,5
1.118,2.131,10.702,5
1.53,2.135,10.3,5
1.827,2.102,9.953,5
2.004,2.02,9.629,5
2.188,1.968,9.407,5
2.344,2.037,9.201,5
2.497,2.162,9.033,5
2.588,2.198,8.952,6
2.569,2.2,8.942,5
2.473,2.317,8.88,5
2.318,2.485,8.784,5
2.14,2.643,8.561,5
2.004,2.882,8.279,5
1.865,3.079,8.166,5
1.69,3.242,8.08,5
1.489,3.38,7.975,5
1.317,3.524,7.886,5
1.118,3.629,7.769,5
0.931,3.735,7.587,5
0.639,3.795,7.479,5
0.333,3.833,7.436,5
0.081,3.905,7.472,5
-0.078,3.898,7.664,5
-0.176,3.838,7.894,5
-0.284,3.744,8.006,5
-0.291,3.663,8.028,5
-0.305,3.526,8.004,5
-0.294,3.397,8.222,5
-0.411,3.318,8.38,5
-0.566,3.256,8.573,5
-0.638,3.213,8.995,5
-0.674,3.213,9.419,6
-0.526,3.16,9.72,5
-0.404,3.079,9.871,5
-0.169,2.983,9.955,5
0.117,2.93,10.024,5
0.409,2.856,10.089,5
0.824,2.823,10.101,5
1.269,2.782,10.01,5
1.673,2.796,9.799,5
1.987,2.863,9.385,5
2.351,2.928,8.873,5
2.576,3.052,8.341,5
2.72,3.294,7.891,5
2.763,3.514,7.496,5
2.696,3.756,7.226,5
2.543,3.977,7.089,5
2.298,4.259,7.087,5
2.006,4.525,7.123,5
1.659,4.685,7.216,5
1.463,4.815,7.278,5
1.247,4.929,7.297,5
1.058,4.996,7.295,5
0.9,5.03,7.295,5
0.706,5.032,7.412,5
0.565,5.073,7.556,5
0.44,5.049,7.735,6
0.371,5.047,7.91,5
0.433,5.04,8.09,5
0.496,4.97,8.305,5
0.639,4.855,8.487,5
0.859,4.683,8.624,5
1.037,4.515,8.691,5
1.264,4.331,8.684,5
1.453,4.13,8.684,5
1.628,3.962,8.717,5
1.753,3.859,8.705,5
1.858,3.833,8.724,5
1.901,3.883,8.72,5
1.887,3.938,8.65,5
1.889,4.044,8.593,5
1.779,4.19,8.533,5
1.669,4.355,8.478,5
1.508,4.491,8.327,5
1.336,4.558,8.226,5
1.171,4.635,8.269,5
1.056,4.74,8.365,5
0.905,4.805,8.461,5
0.745,4.81,8.585,5
0.642,4.755,8.818,5
0.649,4.702,9.004,5
